liver	hígado
five	cinco
twelve	doce
dog	perro
cloud	nube
seed	semilla
fourteen	catorce
head	cabeza
grandmother	abuela
fish	pez
hair	pelo
leaf	hoja
dust	polvo
skin	piel
wind	viento
hand	mano
husband	esposo
stick	palo
ear	oreja
mountain	montaña
three	tres
rain	lluvia
right	derecha
grandfather	abuelo
heart	corazón
mother	madre
fire	fuego
fingernail	uña
bread	pan
foot	pie
louse	piojo
bird	pájaro
fog	niebla
tongue	lengua
snow	nieve
earth	tierra
tail	cola
nine	nueve
eye	ojo
road	camino
eighteen	dieciocho
blood	sangre
tooth	diente
sand	arena
two	dos
mouth	boca
fat	grasa
twenty	veinte
neck	cuello
egg	huevo
ash	cenizas
wing	ala
ten	diez
lake	lago
airport	aeropuerto
meat	carne
moon	luna
tea	té
bark	corteza
aunt	tía
man	hombre
forest	bosque
river	río
sky	cielo
water	agua
water	agua
cheese	queso
fruit	fruta
six	seis
root	raíz
sixteen	dieciséis
flower	flor
stone	piedra
year	año
feather	pluma
knee	rodilla
salt	sal
because	porque
beer	cerveza
fifteen	quince
wine	vino
eight	ocho
child	niño
rope	cuerda
belly	barriga
snake	serpiente
tree	árbol
seven	siete
grass	hierba
sea	mar
day	día
name	nombre
acidity	acidez
horn	cuerno
left	izquierda
sister	hermana
smoke	humo
thirteen	trece
animal	animal
honey	miel
